id,name,pred
002903.SZ,宇环数控,5
002905.SZ,金逸影视,1
002906.SZ,华阳集团,5
002908.SZ,德生科技,5
002909.SZ,集泰股份,7
002910.SZ,庄园牧场,5
002912.SZ,中新赛克,5
002913.SZ,奥士康,7
002915.SZ,中欣氟材,7
002917.SZ,金奥博,7
002919.SZ,名臣健康,2
002920.SZ,德赛西威,5
002922.SZ,伊戈尔,6
002923.SZ,润都股份,7
002925.SZ,盈趣科技,7
002927.SZ,泰永长征,7
002932.SZ,明德生物,4
002933.SZ,新兴装备,2
002935.SZ,天奥电子,7
002937.SZ,兴瑞科技,7
002938.SZ,鹏鼎控股,6
002940.SZ,昂利康,5
002942.SZ,新农股份,7
002943.SZ,宇晶股份,5
002947.SZ,恒铭达,5
002950.SZ,奥美医疗,7
002951.SZ,金时科技,5
002952.SZ,亚世光电,7
002955.SZ,鸿合科技,7
002956.SZ,西麦食品,7
002957.SZ,科瑞技术,7
002960.SZ,青鸟消防,5
002962.SZ,五方光电,5
002963.SZ,豪尔赛,5
002967.SZ,广电计量,5
002968.SZ,新大正,6
002970.SZ,锐明技术,2
002971.SZ,和远气体,7
002972.SZ,科安达,5
002976.SZ,瑞玛精密,7
002977.SZ,天箭科技,7
002978.SZ,安宁股份,4
002979.SZ,雷赛智能,7
002980.SZ,华盛昌,7
002981.SZ,朝阳科技,2
002983.SZ,芯瑞达,5
002985.SZ,北摩高科,5
002986.SZ,宇新股份,6
002990.SZ,盛视科技,5
002991.SZ,甘源食品,7
002992.SZ,宝明科技,2
002993.SZ,奥海科技,7
002995.SZ,天地在线,2
002999.SZ,天禾股份,7
003000.SZ,劲仔食品,5
003001.SZ,中岩大地,1
003002.SZ,壶化股份,7
003003.SZ,天元股份,7
003005.SZ,竞业达,7
003006.SZ,百亚股份,5
003007.SZ,直真科技,2
003008.SZ,开普检测,5
003010.SZ,若羽臣,2
003011.SZ,海象新材,7
003012.SZ,东鹏控股,2
003013.SZ,地铁设计,6
003015.SZ,日久光电,5
003016.SZ,欣贺股份,7
003017.SZ,大洋生物,7
003018.SZ,金富科技,5
003019.SZ,宸展光电,7
003020.SZ,立方制药,6
003021.SZ,兆威机电,5
003022.SZ,联泓新科,5
003023.SZ,彩虹集团,7
003025.SZ,思进智能,5
003026.SZ,中晶科技,7
003027.SZ,同兴环保,5
003028.SZ,振邦智能,5
003029.SZ,吉大正元,5
003030.SZ,祖名股份,7
003031.SZ,中瓷电子,5
003032.SZ,传智教育,5
003033.SZ,征和工业,7
003035.SZ,南网能源,5
003036.SZ,泰坦股份,6
003037.SZ,三和管桩,5
003038.SZ,鑫铂股份,6
003040.SZ,楚天龙,5
003041.SZ,真爱美家,7
003042.SZ,中农联合,7
300001.SZ,特锐德,6
300004.SZ,南风股份,2
300005.SZ,探路者,7
300007.SZ,汉威科技,7
300008.SZ,天海防务,5
300009.SZ,安科生物,5
300011.SZ,鼎汉技术,6
300012.SZ,华测检测,7
300013.SZ,新宁物流,2
300014.SZ,亿纬锂能,7
300015.SZ,爱尔眼科,7
300017.SZ,网宿科技,5
300018.SZ,中元股份,5
300019.SZ,硅宝科技,6
300022.SZ,吉峰科技,6
300024.SZ,机器人,1
300025.SZ,华星创业,5
300029.SZ,ST天龙,7
300032.SZ,金龙机电,2
300033.SZ,同花顺,4
300034.SZ,钢研高纳,7
300035.SZ,中科电气,7
300036.SZ,超图软件,5
300039.SZ,上海凯宝,5
300042.SZ,朗科科技,7
300044.SZ,赛为智能,2
300045.SZ,华力创通,5
300046.SZ,台基股份,5
300048.SZ,合康新能,5
300049.SZ,福瑞股份,7
300050.SZ,世纪鼎利,2
300051.SZ,三五互联,4
300052.SZ,中青宝,2
300053.SZ,欧比特,1
300054.SZ,鼎龙股份,5
300056.SZ,中创环保,2
300061.SZ,旗天科技,2
300063.SZ,天龙集团,7
300066.SZ,三川智慧,5
300067.SZ,安诺其,7
300069.SZ,金利华电,2
300073.SZ,当升科技,7
300074.SZ,华平股份,2
300075.SZ,数字政通,5
300076.SZ,GQY视讯,2
300079.SZ,数码视讯,5
300081.SZ,恒信东方,2
300082.SZ,奥克股份,6
300084.SZ,海默科技,5
300085.SZ,银之杰,5
300086.SZ,康芝药业,2
300087.SZ,荃银高科,6
300091.SZ,金通灵,2
300092.SZ,科新机电,6
300095.SZ,华伍股份,7
300096.SZ,易联众,2
300097.SZ,智云股份,2
300098.SZ,高新兴,5
300099.SZ,精准信息,7
300100.SZ,双林股份,7
300101.SZ,振芯科技,5
300102.SZ,乾照光电,6
300103.SZ,达刚控股,2
300105.SZ,龙源技术,5
300106.SZ,西部牧业,7
300107.SZ,建新股份,5
300108.SZ,*ST吉药,2
300109.SZ,新开源,7
300110.SZ,华仁药业,5
300113.SZ,顺网科技,1
300114.SZ,中航电测,6
300115.SZ,长盈精密,1
300116.SZ,保力新,2
300119.SZ,瑞普生物,6
300120.SZ,经纬辉开,7
300122.SZ,智飞生物,6
300123.SZ,亚光科技,2
300124.SZ,汇川技术,7
300125.SZ,聆达股份,5
300126.SZ,锐奇股份,5
300127.SZ,银河磁体,6
300128.SZ,锦富技术,2
300129.SZ,泰胜风能,7
300132.SZ,青松股份,2
300133.SZ,华策影视,7
300134.SZ,大富科技,1
300135.SZ,宝利国际,2
300136.SZ,信维通信,7
300137.SZ,先河环保,7
300140.SZ,中环装备,2
300141.SZ,和顺电气,7
300143.SZ,盈康生命,5
300144.SZ,宋城演艺,4
300146.SZ,汤臣倍健,4
300148.SZ,天舟文化,2
