X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
688180.SH,君实生物-U,,制造业,-31.98718888,-2.6,-27.40361509,63.49257255,22.15261981,1.284564744,63.48985662,4.085625721,3.414315375,3.746488821,-253.7245039,0
688181.SH,八亿时空,,制造业,16.62346319,2.14,10.65240017,47.13008182,17.93585778,1.218559011,91.0016283,3.595497444,2.146334546,2.806672563,-1.357797324,0
688182.SH,灿勤科技,,制造业,57.86612085,0.2,3.823323186,22.57387048,0,0,0,0,0,0,0,0
688183.SH,生益电子,,制造业,24.38082784,0.38,7.834479608,23.27219889,41.33133693,1.704487452,85.12551796,1.220569619,0.474978811,0.945338806,18.40375952,0
688184.SH,帕瓦股份,,制造业,36.08888814,1.34,6.473430844,13.77138186,23.93275961,1.314626368,94.4063962,2.828371483,1.204800397,2.107049276,74.51909417,0
688185.SH,康希诺,,制造业,340.6072062,-3.68,-12.3370089,74.41511626,36.82424562,1.582885728,69.25077154,2.643062145,2.033293922,2.411320378,-150.5880175,0
688188.SH,柏楚电子,,信息传输、软件和信息技术服务业,66.68654547,3.31,13.19793454,78.95908171,4.440897729,1.046472786,98.57368085,20.48309647,19.52760833,19.87220647,-10.35262581,0
688189.SH,南新制药,,制造业,-16.7868797,-0.0927,-1.313249684,83.88861436,0,0,0,0,0,0,0,0
688190.SH,云路股份,,制造业,58.01032609,1.89,11.77466732,25.40666313,20.04750705,1.250742739,83.23066728,4.688242433,2.916732011,4.3947585,89.31519742,0
688191.SH,智洋创新,,信息传输、软件和信息技术服务业,42.97590931,0.18,3.393813695,33.77540682,0,0,0,0,0,0,0,0
688192.SH,迪哲医药-U,,制造业,-22.46393432,-1.82,-34.87069754,12.51727328,15.53512487,1.183924085,76.8317902,5.928407,5.700205446,5.90800904,-9.871556651,0
688193.SH,仁度生物,,制造业,50.30068166,0.51,3.052133498,69.92137591,0,0,0,0,0,0,0,0
688195.SH,腾景科技,,制造业,50.71078216,0.45,6.805035491,31.2030097,13.30870518,1.153518357,88.14991256,4.533721755,2.519304921,3.926159008,11.67348526,0
688196.SH,卓越新能,,制造业,12.11276177,3.76,17.19600146,12.28847962,6.755681981,1.072451406,72.88832688,13.07271251,5.183863103,9.851871323,31.02869173,0
688197.SH,首药控股-U,,制造业,-22.54484827,-1.25,-28.77596651,99.76913725,0,0,0,0,0,0,0,0
688198.SH,佰仁医疗,,制造业,247.813826,0.7,9.099759657,89.36854982,6.796319289,1.072919001,78.90358978,11.45080281,9.688743055,10.9530911,84.1618453,0
688199.SH,久日新材,,制造业,21.48501297,0.4,1.588949534,25.1256321,31.15671403,1.452574475,72.74279298,2.037780419,1.152385964,1.633292002,-73.95210785,0
688200.SH,华峰测控,,制造业,49.4566669,5.77,18.2355588,77.76117064,0,0,0,0,0,0,0,0
