X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
16,制造业,86.4386,0.16,2.846,13.388,45.5283,1.8358,74.9011,1.1715,0.2139,0.9991,-76.5181,37.27498061
19,制造业,20.5615,1.82,17.1965,34.3953,42.8999,1.7513,79.7108,1.7095,0.9808,1.3983,51.2194,52.2064
19,房地产业,9.2494,1.95,9.4508,20.253,76.9515,4.3387,79.7112,1.3132,0.1273,0.4716,-1.3623,53.2128
19,文化、体育和娱乐业,14.6932,0.36,6.399,19.2205,35.2377,1.5441,85.3469,2.4183,1.7717,2.0687,10.7176,70.2254
19,金融业,3.8638,1.14,9.2703,3.448749091,92.0281,12.5441,4.877415455,0.083532727,0.044989091,0.082946364,3.4754,46.4675
17,制造业,41.6256,0.48,8.4424,19.965,61.3072,2.5845,86.1602,1.1203,0.2102,0.8595,69.7423,55.4619
16,制造业,-76.4169,-0.0702,-1.8233,17.5007,15.5321,1.1839,87.2349,5.2033,4.1978,4.6353,-516.9949,48.3428
16,制造业,58.7272,0.59,2.0849,11.5742,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
15,制造业,48.3189,0.550152756,5.553029823,21.1595,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
19,电力、热力、燃气及水生产和供应业,22.1718,0.2481,9.7497,59.111,36.29213529,1.652371765,27.59894941,0.507624706,0.215131765,0.458296471,0.783194048,49.10658235
17,制造业,6.9627,0.550152756,5.553029823,46.1103,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,50.4591
17,制造业,27.0594,0.23,7.3536,18.6017,55.4743,2.2459,68.1284,1.7946,0.1666,1.1627,174.9784,52.0361
16,制造业,-22.8508,0.0372,0.6631,28.1606,11.231,1.1265,69.8083,8.2128,6.2785,7.3871,143.9225,57.1591
19,金融业,4.04,4.2,12.7773,3.448749091,91.8277,12.2365,4.877415455,0.083532727,0.044989091,0.082946364,10.2582,50.202
1,制造业,-4.0264,0.550152756,5.553029823,12.7678,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,110.7807
17,制造业,77.9666,0.550152756,5.553029823,10.7857,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
16,制造业,14.8013,1.47,14.9549,22.7947,45.7681,1.8439,90.9032,1.7998,0.7864,1.3233,102.8832,37.27498061
16,制造业,4.4244,2.5796,28.8495,27.4848,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,42.1437
16,农、林、牧、渔业,-305.2531,0.3124,4.5427,8.8423,48.8507,1.9551,62.0427,1.152,0.4006,0.4972,-39.4769,34.76342632
17,制造业,-21.4069,-0.5277,-11.9003,2.6801,72.8846,3.6879,83.5554,1.1337,0.285,0.8708,-3.0207,34.5804
16,制造业,-37.3651,0.550152756,5.553029823,23.1564,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,63.3302
18,制造业,30.403,0.44,6.8795,12.0912,63.3277,2.7269,76.4512,1.392,0.2493,1.0795,15.052,46.6265
19,电力、热力、燃气及水生产和供应业,15.1013,0.155298824,3.065568235,49.0413,36.29213529,1.652371765,27.59894941,0.507624706,0.215131765,0.458296471,0.783194048,56.2385
15,制造业,8.8023,0.550152756,5.553029823,25.9522,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,64.7908
17,制造业,16.1296,0.550152756,5.553029823,18.3301,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
17,制造业,18.0211,3.31,32.0354,15.0026,63.5418,2.7429,97.7339,1.0054,0.5907,0.9347,180.4378,37.27498061
18,制造业,26.8678,0.550152756,5.553029823,8.0352,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,63.8503
16,制造业,15.1697,0.24,5.4085,13.4708,48.7602,1.9516,68.9063,1.1861,0.434,0.7126,-26.9791,48.049
17,制造业,-3.508,-0.885,-38.0328,-1.3638,89.9403,9.9406,83.0828,0.3356,0.0823,0.1828,-215.1296,52.9665
16,批发和零售业,14.8535,0.340656962,3.740705063,52.6332,25.74873038,1.29166962,34.90411392,0.531965823,0.164368354,0.36404557,-8.744253846,47.1253
17,制造业,-53.5882,0.550152756,5.553029823,16.76,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,46.9895
16,房地产业,-1.947,0.087504598,-0.53828046,19.6922,33.96739885,1.995166667,34.68559655,0.905643678,0.192041379,0.31747931,-9.214840476,33.6588
19,建筑业,8.8924,0.89,10.7138,8.2266,70.0228,3.3359,93.2327,1.1858,0.34,1.1371,15.4706,61.6487
