X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
300070.SZ,碧水源,18,水利、环境和公共设施管理业,38.4215,0.2000,2.7231,29.2854,59.4688,2.4672,54.3923,1.0051,0.2389,0.9975,18.7895,53.0537
300296.SZ,利亚德,18,制造业,27.4262,0.1107,3.5581,30.6310,45.1517,1.8232,83.4762,1.9298,0.3777,1.3445,-53.1962,61.1564
300433.SZ,蓝思科技,18,制造业,-112.0495,0.5000,5.7252,15.1601,0,0,0,0,0,0,0,0
300527.SZ,中船应急,18,制造业,112.4166,0,0,22.9930,0,0,0,0,0,0,0,0
600006.SH,东风汽车,18,制造业,-252.4566,0.1425,3.5158,9.0687,52.0433,2.0852,90.7130,1.5972,0.8001,1.4192,-22.8576,43.8223
600012.SH,皖通高速,18,交通运输、仓储和邮政业,8.3639,0.8712,12.3962,44.8974,36.6083,1.5775,17.6719,3.7832,3.4331,3.7798,-8.4974,52.9843
600017.SH,日照港,18,交通运输、仓储和邮政业,10.5867,0.2100,4.7327,25.2611,53.3444,2.1434,51.1828,0.2665,0.1485,0.2532,-10.8530,49.4735
600022.SH,山东钢铁,18,制造业,-12.3384,0.0519,2.5369,4.9269,53.9013,2.1693,77.5498,0.5607,0.2736,0.3880,-52.1391,43.0923
600033.SH,福建高速,18,交通运输、仓储和邮政业,9.3836,0,0,57.3186,0,0,0,0,0,0,0,53.9211
600035.SH,楚天高速,18,交通运输、仓储和邮政业,7.2962,0,0,51.1156,0,0,0,0,0,0,0,51.8994
600058.SH,五矿发展,18,批发和零售业,19.1607,0.1700,5.6801,3.3793,78.1941,4.5859,93.1532,1.1880,0.1401,0.9845,-28.2223,69.9740
600064.SH,南京高科,18,房地产业,5.0028,0,0,27.2832,0,0,0,0,0,0,0,33.7750
600075.SH,新疆天业,18,制造业,10.2502,0.5000,8.4481,19.0872,45.5070,1.8351,46.9070,1.8486,1.1290,1.5932,-49.8404,52.8237
600079.SH,人福医药,18,制造业,15.9338,1.5400,17.7530,42.6515,50.1922,2.0077,83.7507,1.2830,0.4043,1.0571,68.9206,53.1393
600094.SH,大名城,18,房地产业,-13.2425,0.0700,1.3729,21.8654,63.2949,2.7244,86.2534,1.4639,0.1321,0.2254,158.3478,18.4462
600095.SH,湘财股份,18,金融业,"-1,200.6952",-0.1100,-2.6727,1.3148,65.8417,2.9275,78.6423,1.5881,0.9633,1.5872,-167.2864,52.8754
